i,word,freq,ipa,xsampa
17046,Lausanne,3,"['l', 'a', 'u̯', 's', 'ã', 'e']","['l', 'a', 'u_^', 's', 'a~', 'e']"
17047,Lawrenceburg,3,"['l', 'a', 'w', 'r', 'e', 'n', 'c', 'e', 'b', 'u', 'r', 'ɡ']","['l', 'a', 'w', 'r', 'e', 'n', 'c', 'e', 'b', 'u', 'r', 'g']"
17048,Laziale,3,"['l', 'a', 'z', 'i̯', 'a', 'l', 'e']","['l', 'a', 'z', 'i_^', 'a', 'l', 'e']"
17050,Leach,3,"['l', 'e', 'a', 't͡s', '˥']","['l', 'e', 'a', 'ts', '_T']"
17051,League,3,"['l', 'e', 'a', 'ɡ', 'u̯', 'e']","['l', 'e', 'a', 'g', 'u_^', 'e']"
17052,Leal,3,"['l', 'e', 'a', 'l']","['l', 'e', 'a', 'l']"
17053,Lecco,3,"['l', 'e', 'c', 'c', 'ə']","['l', 'e', 'c', 'c', '@']"
17054,Leeds,3,"['l', 'e', 'e', 'd', 's']","['l', 'e', 'e', 'd', 's']"
17055,Legend,3,"['l', 'e', 'ɡ', 'e', 'n', 'd']","['l', 'e', 'g', 'e', 'n', 'd']"
17057,Leicester,3,"['l', 'e', 'i', 'c', 'e', 's', 't', 'e', 'r']","['l', 'e', 'i', 'c', 'e', 's', 't', 'e', 'r']"
17058,Lekarcice,3,"['l', 'e', 'k', 'a', 'r', 'c', 'i', 'c', 'e']","['l', 'e', 'k', 'a', 'r', 'c', 'i', 'c', 'e']"
17059,Lekeberg,3,"['l', 'e', 'k', 'e', 'b', 'e', 'r', 'ɡ']","['l', 'e', 'k', 'e', 'b', 'e', 'r', 'g']"
17060,Leng,3,"['l', 'e', 'ŋ']","['l', 'e', 'N']"
17061,Lenox,3,"['l', 'e', 'n', 'ə', 'x']","['l', 'e', 'n', '@', 'x']"
17062,Leonardo,3,"['l', 'e', 'ə', 'n', 'a', 'r', 'd', 'ə']","['l', 'e', '@', 'n', 'a', 'r', 'd', '@']"
17063,Leopoldo,3,"['l', 'e', 'ɔ', 'p', 'ə', 'l', 'd', 'ə']","['l', 'e', 'O', 'p', '@', 'l', 'd', '@']"
17064,Lesiak,3,"['l', 'e', 'ɕ', 'a', 'k']","['l', 'e', 's\\', 'a', 'k']"
17065,Leszczyn,3,"['l', 'e', 's', 'z', 'c', 'z', 'y', 'n']","['l', 'e', 's', 'z', 'c', 'z', 'y', 'n']"
17066,Lev,3,"['l', 'e', 'v']","['l', 'e', 'v']"
17069,Lia̍p,3,"['l', 'i̯', 'a', 'p']","['l', 'i_^', 'a', 'p']"
17070,Libby,3,"['l', 'i', 'b', 'b', 'y']","['l', 'i', 'b', 'b', 'y']"
17072,Lieskovec,3,"['l', 'i', 'e', 's', 'k', 'ə', 'v', 'e', 'c']","['l', 'i', 'e', 's', 'k', '@', 'v', 'e', 'c']"
17073,Lincolnshire,3,"['l', 'i', 'n', 'c', 'ə', 'l', 'n', 's', 'h', 'i', 'r', 'e']","['l', 'i', 'n', 'c', '@', 'l', 'n', 's', 'h', 'i', 'r', 'e']"
