i,word,freq,ipa,xsampa
13155,Sun,10,"['s', 'ɯ', 'ə̯', 'ɲ']","['s', 'M', '@_^', 'J']"
13158,Timothy,10,"['t', 'i', 'm', 'o', 'tʰ', 'y']","['t', 'i', 'm', 'o', 't_h', 'y']"
13162,cell,10,"['c', 'e̞', 'l', 'l']","['c', 'e_o', 'l', 'l']"
13163,km2,10,"['k', 'm']","['k', 'm']"
13164,m,10,['m'],['m']
13166,rock,10,"['z̩', 'o', 'c', 'k']","['z=', 'o', 'c', 'k']"
13170,www,10,"['w', 'w', 'w']","['w', 'w', 'w']"
14225,Authority,9,"['ɔ', 'tʰ', 'o', 'z̩', 'i', 't', 'y']","['O', 't_h', 'o', 'z=', 'i', 't', 'y']"
14243,Electronic,9,"['e̞', 'l', 'e̞', 'c', 't', 'z̩', 'ʊ', 'ŋ', 'i', 'c']","['e_o', 'l', 'e_o', 'c', 't', 'z=', 'U', 'N', 'i', 'c']"
14247,Fe,9,"['f', 'e̞']","['f', 'e_o']"
14249,Franklin,9,"['f', 'z̩', 'ã', 'k', 'l', 'ɪ', 'ɲ']","['f', 'z=', 'a~', 'k', 'l', 'I', 'J']"
14254,HTML,9,"['h', 't', 'm', 'l']","['h', 't', 'm', 'l']"
14255,HTTP,9,"['h', 't', 't', 'p']","['h', 't', 't', 'p']"
14258,Hotel,9,"['h', 'o', 't', 'e̞', 'l']","['h', 'o', 't', 'e_o', 'l']"
14264,Johan,9,"['t͡ɕ', 'o', 'h', 'ã']","['ts\\', 'o', 'h', 'a~']"
14267,Kenneth,9,"['k', 'ə', 'ɲ', 'n', 'e̞', 'tʰ']","['k', '@', 'J', 'n', 'e_o', 't_h']"
14278,Ng,9,['ŋ'],['N']
14279,No,9,"['n', 'o']","['n', 'o']"
14280,Norte,9,"['n', 'o', 'z̩', 't', 'e̞']","['n', 'o', 'z=', 't', 'e_o']"
14281,Online,9,"['ʊ', 'ŋ', 'l', 'ɪ', 'ɲ', 'e̞']","['U', 'N', 'l', 'I', 'J', 'e_o']"
14283,PS,9,"['p', 's']","['p', 's']"
14284,Pieter,9,"['p', 'i', 'e̞', 't', 'ə', 'ɻ']","['p', 'i', 'e_o', 't', '@', 'r\\`']"
14286,Power,9,"['p', 'o', 'w', 'ə', 'ɻ']","['p', 'o', 'w', '@', 'r\\`']"
14292,S3,9,['s'],['s']
14295,Santo,9,"['s', 'ã', 't', 'o']","['s', 'a~', 't', 'o']"
14296,School,9,"['s', 'c', 'h', 'o', 'o', 'l']","['s', 'c', 'h', 'o', 'o', 'l']"
14298,SiO,9,"['s', 'i̯', 'o']","['s', 'i_^', 'o']"
14301,Smith,9,"['s', 'm', 'i', 'tʰ']","['s', 'm', 'i', 't_h']"
14303,Sophie,9,"['s', 'o', 'pʰ', 'i', 'e̞']","['s', 'o', 'p_h', 'i', 'e_o']"
