i,word,freq,ipa,xsampa
23829,ยุทหารปฏิวัติ,3,"['j', 'u', 't', 'h', 'aː', 'r', 'o', 'p', 't', 'i', 'w', 'a', 't', 'i', 'ʔ']","['j', 'u', 't', 'h', 'a:', 'r', 'o', 'p', 't', 'i', 'w', 'a', 't', 'i', '?']"
23830,ยุบสภาตค,3,"['j', 'u', 'b', 's', 'a', 'pʰ', 'aː', 't', 'o', 'k']","['j', 'u', 'b', 's', 'a', 'p_h', 'a:', 't', 'o', 'k']"
23831,ยุบสภาแสดงสปิริต,3,"['j', 'u', 'b', 's', 'a', 'pʰ', 'aː', 's', 'ɛː', 't', 'ŋ', 'a', 's', 'a', 'p', 'i', 'r', 'i', 't']","['j', 'u', 'b', 's', 'a', 'p_h', 'a:', 's', 'E:', 't', 'N', 'a', 's', 'a', 'p', 'i', 'r', 'i', 't']"
23837,ยูกันดา,3,"['j', 'uː', 'k', 'a', 'n', 'd', 'aː']","['j', 'u:', 'k', 'a', 'n', 'd', 'a:']"
23838,ยูงทอง,3,"['j', 'uː', 'ŋ', 'tʰ', 'ɔː', 'ŋ']","['j', 'u:', 'N', 't_h', 'O:', 'N']"
23839,ยูธ,3,"['j', 'uː', 't']","['j', 'u:', 't']"
23843,ยูเอชที,3,"['j', 'uː', 'ʔ', 'eː', 't', 'tʰ', 'iː']","['j', 'u:', '?', 'e:', 't', 't_h', 'i:']"
23888,รช,3,"['r', 'o', 't']","['r', 'o', 't']"
23890,รณฤทธิวิชัย,3,"['r', 'a', 'n', 'a', 'r', 'ʉ', 'tʰ', 'a', 'tʰ', 'i', 'w', 'i', 't͡ɕʰ', 'a', 'j']","['r', 'a', 'n', 'a', 'r', '}', 't_h', 'a', 't_h', 'i', 'w', 'i', 'ts\\_h', 'a', 'j']"
23894,รถจยย,3,"['r', 'o', 't', 't͡ɕ', 'a', 'j', 'o', 'j']","['r', 'o', 't', 'ts\\', 'a', 'j', 'o', 'j']"
23899,รถบรรทุก,3,"['r', 'o', 't', 'b', 'a', 'r', 'o', 'n', 'tʰ', 'u', 'k']","['r', 'o', 't', 'b', 'a', 'r', 'o', 'n', 't_h', 'u', 'k']"
23909,รม,3,"['r', 'o', 'm']","['r', 'o', 'm']"
23912,รวด,3,"['r', 'a', 'w', 'o', 't']","['r', 'a', 'w', 'o', 't']"
