cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
fA	0.9008986074529011	0.012701757561262548	101	3	3	6.298828051085919	-1.1783761293059551	1.1677173567592287	0.32328056129587873	-0.15240863204218438
fe	0.01691220458007583	0.0027407354737787886	22	1	3	8.511221193668689	-0.32454690538554976	0.04027591271783198	-1.3491575424748008	-1.5017393512729562
fo	1.8371692254325482	0.0051388790133352295	84	4	3	7.60433059806017	-0.6745433316650018	1.0313781134222175	1.1594996131812185	1.2767295337117823
fu	1.4895147719454234	0.0073948145801955995	112	3	3	7.079270311453499	-0.8771799283873349	1.2441918130358967	0.32328056129587873	0.7460643195828606
fU	0.869137580612638	2.0038396152627938e-4	6	2	3	12.284945337845013	1.131847030798069	-0.9208726786467143	-0.512938490589461	-0.20088916189038555
ga	2.16964144306889	0.02547461910887313	181	5	3	5.294795614094054	-1.5658625212891126	1.5992719310305687	1.9957186650665582	1.7842203447577014
gA	1.8162502160859204	0.012889213525271002	137	4	3	6.277691953833692	-1.1865331865514441	1.3932387837612838	1.1594996131812185	1.2447984295278853
ge	0.1311867059311258	0.08818187106908074	3	1	3	3.5033741009652513	-2.2572260998633307	-1.433630441459612	-1.3491575424748008	-1.3273089589087275
gE	0	6.399358771323116e-4	15	1	3	10.609785028152277	0.4853521562490245	-0.24304378611275432	-1.3491575424748008	-1.5275544057756607
gi	1.2462995248440503	0.0196505562270932	114	3	3	5.66928603990094	-1.4213353739761199	1.2572851297379737	0.32328056129587873	0.37481674922130714
gI	0.0886281837166101	4.0723192181147094e-4	6	1	3	11.261861724731972	0.7370082155004343	-0.9208726786467143	-1.3491575424748008	-1.3922709551594468
